bait,bait_uniprot,prey_gene,prey_uniprot
ORF-Q9Q2G4,Q9Q2G4,NFAT5,O94916
ORF-Q9Q2G4,Q9Q2G4,NFU1,Q9UMS0
ORF-Q9Q2G4,Q9Q2G4,OSBPL3,Q9H4L5
ORF-Q9Q2G4,Q9Q2G4,OSBPL6,Q9BZF3
ORF-Q9Q2G4,Q9Q2G4,PARP4,Q9UKK3
ORF-Q9Q2G4,Q9Q2G4,POLE,Q07864
ORF-Q9Q2G4,Q9Q2G4,POLE3,Q9NRF9
ORF-Q9Q2G4,Q9Q2G4,POLE4,Q9NR33
ORF-Q9Q2G4,Q9Q2G4,PUM2,Q8TB72
ORF-Q9Q2G4,Q9Q2G4,SARS1,P49591
ORF-Q9Q2G4,Q9Q2G4,SF3A3,Q12874
ORF-Q9Q2G4,Q9Q2G4,SMG6,Q86US8
ORF-Q9Q2G4,Q9Q2G4,TRPS1,Q9UHF7
ORF-Q9Q2G4,Q9Q2G4,UBR4,Q5T4S7
ORF-Q9Q2G4,Q9Q2G4,VBP1,P61758
ORF-Q9Q2G4,Q9Q2G4,ZNRD2,O60232
Q76353-Q76353,Q76353,CAND2,O75155
Q76353-Q76353,Q76353,CIAO1,O76071
Q76353-Q76353,Q76353,CIAO2B,Q9Y3D0
Q76353-Q76353,Q76353,CKMT1A,P12532
Q76353-Q76353,Q76353,DSP,P15924
Q76353-Q76353,Q76353,HDDC2,Q7Z4H3
Q76353-Q76353,Q76353,HEATR1,Q9H583
Q76353-Q76353,Q76353,IPO4,Q8TEX9
Q76353-Q76353,Q76353,MCM6,Q14566
Q76353-Q76353,Q76353,PDIA4,P13667
Q76353-Q76353,Q76353,PLAA,Q9Y263
