bait,bait_uniprot,prey_gene,prey_uniprot
DDIT4L,,MKRN3,
DDIT4L,,MLX,
DDIT4L,,MORF4L1,
DDIT4L,,MORF4L2,
DDIT4L,,MT1M,
DDIT4L,,MYDGF,
DDIT4L,,MYG1,
DDIT4L,,MYL6,
DDIT4L,,MYLIP,
DDIT4L,,NAA10,
DDIT4L,,NAV1,
DDIT4L,,NDEL1,
DDIT4L,,NDRG4,
DDIT4L,,NEK6,
DDIT4L,,NGB,
DDIT4L,,NHLRC4,
DDIT4L,,NIBAN1,
DDIT4L,,NME7,
DDIT4L,,NQO2,
DDIT4L,,NR2C2AP,
DDIT4L,,NUDT11,
DDIT4L,,NUDT2,
DDIT4L,,NUDT22,
DDIT4L,,PADI6,
DDIT4L,,PARVG,
DDIT4L,,PBK,
DDIT4L,,PCBP3,
DDIT4L,,PDE4C,
DDIT4L,,PFKFB1,
DDIT4L,,PITX2,
DDIT4L,,PLAA,
DDIT4L,,PLSCR4,
DDIT4L,,PM20D2,
DDIT4L,,PMVK,
DDIT4L,,POU1F1,
DDIT4L,,PPCDC,
DDIT4L,,PPP1R27,
DDIT4L,,PRKAB2,
DDIT4L,,PRPF18,
DDIT4L,,PRPF40A,
DDIT4L,,PRPS1,
DDIT4L,,PSMA1,
DDIT4L,,PSMB1,
DDIT4L,,PSMB9,
DDIT4L,,PTS,
DDIT4L,,PUF60,
DDIT4L,,RAB32,
DDIT4L,,RFC5,
DDIT4L,,RFPL3,
DDIT4L,,RNF8,
DDIT4L,,RPIA,
DDIT4L,,RPL22,
DDIT4L,,RPRD1B,
DDIT4L,,SCOC,
DDIT4L,,SCRN1,
DDIT4L,,SEC13,
DDIT4L,,SEC22A,
DDIT4L,,SEPTIN1,
DDIT4L,,SEPTIN3,
DDIT4L,,SEPTIN5,
DDIT4L,,SH2D1A,
DDIT4L,,SH2D1B,
DDIT4L,,SH3BGRL3,
DDIT4L,,SNRPA,
DDIT4L,,SNRPG,
DDIT4L,,SORL1,
DDIT4L,,SREK1IP1,
DDIT4L,,STAC3,
DDIT4L,,STK16,
DDIT4L,,STK4,
DDIT4L,,SULT2B1,
DDIT4L,,SUOX,
DDIT4L,,TARS2,
DDIT4L,,TBC1D22B,
DDIT4L,,TCF19,
DDIT4L,,TCL1A,
DDIT4L,,TCP11L1,
DDIT4L,,TEKT4,
DDIT4L,,TEX14,
DDIT4L,,TOLLIP,
DDIT4L,,TRIM69,
DDIT4L,,TRIM74,
DDIT4L,,TSEN15,
DDIT4L,,TSSK3,
DDIT4L,,TTC5,
DDIT4L,,TXN,
DDIT4L,,TXNL4A,
DDIT4L,,TYW3,
DDIT4L,,UBASH3A,
DDIT4L,,UBE2B,
DDIT4L,,UBTFL1,
DDIT4L,,VBP1,
DDIT4L,,VCX2,
DDIT4L,,VEZF1,
DDIT4L,,WHRN,
DDIT4L,,XPNPEP1,
DDIT4L,,YES1,
DDIT4L,,YOD1,
DDIT4L,,YPEL5,
DDIT4L,,ZIC1,
DDIT4L,,ZNF410,
DDIT4L,,ZNF593,
DDIT4L,,ZNF76,
DDIT4L,,ZNF765,
DDIT4L,,ZSCAN23,
DLGAP3,,DLG2,
DLGAP3,,GOLGA2,
DLGAP3,,KANK2,
DLGAP3,,KRTAP1-3,
DLGAP3,,KRTAP5-2,
DLGAP3,,MAGEA6,
DLGAP3,,MAGI2,
DNAJC17,,MEOX2,
DOK4,,INCA1,
DOK4,,PAX8,
DOK4,,PFDN5,
EEF2KMT,,HPRT1,
EEF2KMT,,IFT88,
EEF2KMT,,KIAA1328,
EEF2KMT,,LNX1,
EEF2KMT,,NR0B1,
EEF2KMT,,PRKAR1B,
EEF2KMT,,PRTFDC1,
EEF2KMT,,TRIP13,
EEF2KMT,,ZNF213,
EEF2KMT,,ZNF35,
EEF2KMT,,ZNF620,
EHMT2,,ATF7IP,
EHMT2,,EIF4A3,
EHMT2,,EPDR1,
EHMT2,,HIC2,
EHMT2,,KLF12,
EHMT2,,KLF3,
EHMT2,,MX2,
EHMT2,,NAA11,
EHMT2,,PLOD3,
EHMT2,,RD3,
EHMT2,,VEZF1,
EHMT2,,ZNF446,
EHMT2,,ZNF462,
EHMT2,,ZNF837,
EIF4EBP3,,EIF4E,
EIF6,,MEOX2,
EIF6,,MSRB3,
EIF6,,VAC14,
ELMO2,,DOCK4,
EPN3,,DAZAP2,
EPN3,,FAM168A,
EPN3,,LITAF,
EPN3,,MID1,
EPN3,,NTAQ1,
EPN3,,RNF8,
EPN3,,RPS27A,
EPN3,,TRIM26,
EXOC8,,AIMP2,
EXOC8,,ANKRD36B,
EXOC8,,ATP23,
EXOC8,,BEX2,
EXOC8,,BICRAL,
EXOC8,,BLOC1S2,
EXOC8,,BLOC1S6,
EXOC8,,BLZF1,
EXOC8,,BORCS6,
EXOC8,,CAPN3,
EXOC8,,CCHCR1,
EXOC8,,CWF19L2,
EXOC8,,DMAP1,
EXOC8,,ELL2,
EXOC8,,ESS2,
EXOC8,,FAM217B,
EXOC8,,GOLGA2,
EXOC8,,GRAMD4,
