bait,bait_uniprot,prey_gene,prey_uniprot
CDK11A,,CCNL2,
CDK11A,,CCT2,
CDK11A,,CCT4,
CDK11A,,CCT6A,
CDK11A,,CCT6B,
CDK11A,,CDC37,
CDK11A,,FKBP5,
CDK11A,,HSP90AA1,
CDK11A,,HSP90AA5P,
CDK11A,,HSP90AB1,
CDK11A,,HSP90AB3P,
CDK14,,CDK15,
CDK14,,CDK17,
CDK14,,FGR,
CDK14,,HSP90AA5P,
CDK14,,ICK,
CDK14,,YWHAH,
CDKN2AIP,,AKAP11,
CDKN2AIP,,BLK,
CDKN2AIP,,CLP1,
CDKN2AIP,,E2F4,
CDKN2AIP,,FTO,
CDKN2AIP,,KPNA1,
CDKN2AIP,,MID1,
CDKN2AIP,,MRPS23,
CDKN2AIP,,PCF11,
CDKN2AIP,,PRKACB,
CDKN2AIP,,SATB2,
CDKN2AIP,,WAPAL,
CDKN2AIP,,XRN2,
CELA3A,,FBXO7,
CELA3A,,HELZ,
CELA3A,,PCSK5,
CELA3A,,POTEF,
CELA3A,,PPIP5K2,
CELA3A,,PPP2R5D,
CELA3A,,TROAP,
CELA3A,,TUBB8,
CHIT1,,BLK,
CHIT1,,CTU1,
CHIT1,,CTU2,
CHIT1,,FAM82B,
CHIT1,,SMAD7,
CHIT1,,VHL,
CHST15,,CANX,
CHST15,,FAM69A,
CHST15,,FKBP7,
CHST15,,MOSC1,
CHST2,,CANX,
CHST2,,HSPA5,
CHST8,,ARL10,
CHST8,,B3GALNT2,
CHST8,,C1QBP,
CHST8,,CALU,
CHST8,,CANX,
CHST8,,CHCHD2,
CHST8,,EDEM2,
CHST8,,FAM3C,
CHST8,,GAL3ST1,
CHST8,,GALNT12,
CHST8,,JMJD4,
CHST8,,LEPREL4,
CHST8,,MRS2,
CHST8,,PAK4,
CHST8,,RRP1,
CHST8,,SEPN1,
CHST8,,TMED1,
CHST8,,TMED2,
CHST8,,TMED4,
CHST8,,TMED9,
CHST8,,TMEM160,
CHST8,,TOR3A,
CHST8,,TXNDC11,
CIDEA,,ALB,
CIDEA,,ICAM1,
CIDEA,,PKP1,
CIDEA,,SERPINA12,
COLEC10,,ACAD10,
COLEC10,,CKAP4,
COLEC10,,DCP2,
COLEC10,,DNAJB9,
COLEC10,,GLT25D2,
COLEC10,,INHBE,
COLEC10,,NUCB2,
COLEC10,,PLOD2,
COLEC10,,PLOD3,
COLEC10,,SENP1,
COLEC10,,STC2,
CRTC2,,PPP3CC,
CRTC2,,PPP3R1,
CRTC2,,YWHAH,
CRTC2,,YWHAZ,
CRYZ,,GTPBP5,
CRYZ,,MUT,
CRYZ,,PREPL,
CRYZ,,TRIP13,
CSNK2A2,,AUTS2,
CSNK2A2,,BCR,
CSNK2A2,,C18orf25,
CSNK2A2,,CDK11B,
CSNK2A2,,CSNK2A1,
CSNK2A2,,DDX41,
CSNK2A2,,EIF3J,
CSNK2A2,,FBRS,
CSNK2A2,,FBRSL1,
CSNK2A2,,GPATCH2,
CSNK2A2,,HAGHL,
CSNK2A2,,HIRIP3,
CSNK2A2,,LUC7L2,
CSNK2A2,,MLL,
CSNK2A2,,NKAP,
CSNK2A2,,PCGF3,
CSNK2A2,,PHRF1,
CSNK2A2,,RING1,
CSNK2A2,,RNF111,
CSNK2A2,,RNF2,
CSNK2A2,,RPS9,
CSNK2A2,,RYBP,
CSNK2A2,,TSPYL2,
CSNK2A2,,ZFP106,
CSNK2A2,,ZMYND8,
CSNK2A2,,ZNF592,
CSNK2A2,,ZNF687,
CSNK2B,,ASH2L,
CSNK2B,,AUTS2,
CSNK2B,,BCR,
CSNK2B,,BRD2,
CSNK2B,,C18orf25,
CSNK2B,,C19orf29,
CSNK2B,,CBX2,
CSNK2B,,CDC42BPA,
CSNK2B,,CDC42BPB,
CSNK2B,,CSNK2A1,
CSNK2B,,CTR9,
CSNK2B,,EIF3J,
CSNK2B,,FBRS,
CSNK2B,,FBRSL1,
CSNK2B,,HCFC2,
CSNK2B,,KIAA0232,
CSNK2B,,LENG8,
CSNK2B,,LIG3,
CSNK2B,,MLL,
CSNK2B,,MLL4,
CSNK2B,,MYST3,
CSNK2B,,NFX1,
CSNK2B,,NKAP,
CSNK2B,,NOMO1,
CSNK2B,,ORC1,
CSNK2B,,PCGF3,
CSNK2B,,PHRF1,
CSNK2B,,RBBP5,
CSNK2B,,RING1,
CSNK2B,,RNF111,
CSNK2B,,RNF2,
CSNK2B,,RPS6KA1,
CSNK2B,,RPS6KA2,
CSNK2B,,RPS6KA3,
CSNK2B,,RPS6KA4,
CSNK2B,,SETD2,
CSNK2B,,SMG6,
CSNK2B,,TOPORS,
CSNK2B,,TSPYL2,
CSNK2B,,XPC,
CSNK2B,,XRCC1,
CSNK2B,,ZFP106,
CSNK2B,,ZMYND8,
CSNK2B,,ZNF496,
CSNK2B,,ZNF592,
CSNK2B,,ZNF687,
CTSE,,B3GALTL,
CTSE,,CCNT1,
CTSE,,CHEK1,
CTSE,,KCTD6,
CTSE,,MTMR6,
CYP2C8,,EP300,
CYP3A7,,C5orf32,
CYP3A7,,VAPB,
CYP51A1,,CCNY,
CYP51A1,,POTEI,
DDX28,,C7orf30,
DDX28,,FASTKD2,
DDX28,,MCAT,
DDX28,,METAP2,
DDX28,,MTERFD1,
DDX28,,NGRN,
DDX28,,PTCD1,
DDX28,,RPUSD4,
DDX28,,TRUB2,
DDX28,,UBR5,
DDX28,,YARS2,
DEFB135,,ACTA2,
DEFB135,,ADAMTS2,
DEFB135,,ARSA,
DEFB135,,ARSB,
DEFB135,,ATRN,
DEFB135,,ATRNL1,
DEFB135,,C3orf64,
DEFB135,,CACNA2D1,
DEFB135,,CACNA2D2,
DEFB135,,CD109,
DEFB135,,CERCAM,
DEFB135,,CHRNA5,
DEFB135,,CLTCL1,
DEFB135,,COL6A1,
DEFB135,,COL6A2,
DEFB135,,CTBS,
DEFB135,,CTSF,
DEFB135,,FAT1,
DEFB135,,FGFR1,
DEFB135,,FUT11,
DEFB135,,GPR98,
DEFB135,,INSR,
DEFB135,,ITGA7,
DEFB135,,ITGA8,
DEFB135,,LRP1B,
DEFB135,,LRP5,
DEFB135,,MANBA,
DEFB135,,MICA,
DEFB135,,NLGN2,
DEFB135,,NRP2,
DEFB135,,PLXNA2,
DEFB135,,PLXNA3,
DEFB135,,PLXNB2,
DEFB135,,SEMA4F,
DEFB135,,SP3,
DEFB135,,SUSD1,
DEFB135,,TCTN2,
DEFB135,,TMEM2,
DEFB135,,TMEM67,
DEFB135,,TUBB1,
DEFB135,,VWDE,
DHX33,,DMWD,
DHX33,,POTEI,
DHX33,,RUFY3,
DNAJC25-GNG10,,CHST10,
DNAJC25-GNG10,,HSPA5,
DNAJC25-GNG10,,INSR,
DNAJC25-GNG10,,LINGO1,
DNAJC25-GNG10,,PDCL,
DNAJC25-GNG10,,SEMA4D,
DNAJC25-GNG10,,SUSD1,
DNAJC25-GNG10,,TMEM2,
DNAJC25-GNG10,,TXNDC15,
DNAJC8,,CCDC75,
DNAJC8,,NUDT8,
DNAJC8,,PMPCA,
DNAJC8,,PMPCB,
DNAJC8,,PPP3R1,
DNAJC8,,SF3B1,
DNAJC8,,SLC4A1AP,
DPPA4,,ADD1,
DPPA4,,ADD2,
DPPA4,,ALOX12B,
DPPA4,,ALOXE3,
DPPA4,,APOD,
DPPA4,,CEACAM21,
DPPA4,,FLG,
DPPA4,,HAL,
DPPA4,,L3MBTL3,
DPPA4,,S100A16,
DPPA4,,SAMD1,
DPPA4,,SDR9C7,
DPPA4,,SERPINB3,
DPPA4,,SH3GL1,
DPPA4,,SNX9,
DPPA4,,TGM1,
DPPA4,,TIGD5,
E2F6,,CBX3,
E2F6,,COMMD4,
E2F6,,HDAC1,
E2F6,,MGA,
E2F6,,RYBP,
E2F6,,TFDP1,
E2F6,,TFDP2,
E2F6,,WDR5,
ECE2,,DHX40,
ECE2,,KCNIP4,
ECE2,,KDM1A,
ECE2,,RCOR1,
ECE2,,RCOR3,
EFNB3,,CDYL,
EFNB3,,DLG1,
EFNB3,,EPHA4,
EFNB3,,EVI5L,
EFNB3,,FAM115C,
EFNB3,,FAM116A,
EFNB3,,KIAA1147,
EFNB3,,MPP7,
EFNB3,,MTMR1,
EFNB3,,MTMR8,
EFNB3,,PKN3,
EFNB3,,PLCD3,
EFNB3,,RAD51C,
EFNB3,,RTEL1,
EFNB3,,TRIM11,
EFNB3,,TUBB2C,
EFNB3,,TUBB3,
EFNB3,,TUBB8,
EFNB3,,USP30,
EMG1,,TCF4,
EMG1,,ZFP106,
ERP44,,BCOR,
ERP44,,BTD,
ERP44,,DAPK1,
ERP44,,DCP1B,
ERP44,,ERO1L,
ERP44,,ERO1LB,
ERP44,,FAM73A,
ERP44,,FN1,
ERP44,,GNL3L,
ERP44,,ITIH2,
ERP44,,ITPKC,
ERP44,,MEX3A,
ERP44,,POLD2,
ERP44,,PRIM2,
ERP44,,STXBP4,
ERP44,,SUMF1,
ERP44,,TNIP1,
ERP44,,ZFPM1,
ERP44,,ZNF212,
ERP44,,ZNF282,
ERP44,,ZNF777,
EXOC8,,BNIP1,
EXOC8,,DERL2,
EXOC8,,EHD1,
EXOC8,,EHD4,
EXOC8,,EXOC1,
EXOC8,,EXOC2,
EXOC8,,EXOC3,
EXOC8,,EXOC4,
EXOC8,,EXOC5,
EXOC8,,EXOC6,
EXOC8,,EXOC6B,
EXOC8,,EXOC7,
EXOC8,,LRRC41,
EXOC8,,OCIAD1,
EXOC8,,PPFIA1,
EXOC8,,RALB,
EXOC8,,SH3BP1,
EXOC8,,SLC27A2,
FAF2,,ATAD1,
FAF2,,ATG9A,
FAF2,,C11orf46,
FAF2,,CCDC109B,
FAF2,,CCDC90A,
FAF2,,DERL2,
FAF2,,DMXL2,
FAF2,,ECSIT,
FAF2,,EVI5L,
FAF2,,FUNDC2,
FAF2,,INTS4,
FAF2,,INTS7,
FAF2,,KIDINS220,
FAF2,,MFN1,
FAF2,,ORAI1,
FAF2,,RBM14-RBM4,
FAF2,,RRM2,
FAF2,,SLC26A6,
FAF2,,SQLE,
FAF2,,STOM,
FAF2,,TARBP1,
FAF2,,TMEM66,
FAF2,,TRO,
FAF2,,TUBA3C,
FAF2,,UBB,
FAF2,,VMP1,
FAF2,,VPS13A,
FAF2,,VPS13C,
FAF2,,VRK2,
FAF2,,XPR1,
FAM82A1,,FAM82A2,
FANCM,,DPYSL3,
FANCM,,KIAA0101,
FANCM,,MOCS2,
FANCM,,PCNA,
FDPS,,ALAS1,
FDPS,,ATPAF2,
FDPS,,GLDC,
FDPS,,PCYOX1,
FDPS,,PDSS1,
FDPS,,PDSS2,
FDPS,,PSME4,
FDPS,,TTC19,
FDPS,,ZMPSTE24,
FOLR3,,FBXO2,
FOLR3,,FOLR2,
FOLR3,,TRIM68,
FUT1,,B4GALT7,
FUT1,,C1GALT1C1,
FUT1,,CSGALNACT2,
FUT1,,GLB1L2,
FUT1,,GLT8D2,
FUT1,,GOLIM4,
FUT1,,HTRA1,
FUT1,,ND5,
FUT1,,NDUFB3,
FUT1,,NDUFB5,
FUT1,,NDUFB6,
FUT1,,NDUFB8,
FUT1,,NDUFS4,
FUT1,,PIGB,
FUT1,,SLC9A1,
FUT1,,TMX4,
FUT1,,UGT3A2,
FUT1,,UGT8,
FZR1,,ANAPC1,
FZR1,,ANAPC2,
FZR1,,ANAPC4,
FZR1,,CCNA2,
FZR1,,CCNB1,
FZR1,,CCT2,
FZR1,,CCT7,
FZR1,,CDC16,
FZR1,,CDC23,
FZR1,,CDC27,
FZR1,,CDK1,
FZR1,,CDK2,
FZR1,,CKS2,
FZR1,,FLJ22184,
FZR1,,GLB1,
FZR1,,HSPA2,
FZR1,,RRM2B,
FZR1,,SKP2,
FZR1,,USP37,
GAGE5,,ARGLU1,
GAGE5,,C19orf29,
GAGE5,,CCDC55,
GAGE5,,CSNK1G3,
GAGE5,,CWC25,
GAGE5,,DDX46,
GAGE5,,DIDO1,
GAGE5,,EEPD1,
GAGE5,,EFR3A,
GAGE5,,GTF2IRD1,
GAGE5,,LRCH3,
GAGE5,,MPRIP,
GAGE5,,MYH14,
GAGE5,,MYH9,
GAGE5,,MYO1D,
GAGE5,,MYO1E,
GAGE5,,MYO5A,
GAGE5,,MYO5B,
GAGE5,,MYO5C,
GAGE5,,PHF3,
GAGE5,,PPHLN1,
GAGE5,,PPP1R12A,
GAGE5,,PRRC2A,
GAGE5,,RAI14,
GAGE5,,RBM25,
GAGE5,,RBM6,
GAGE5,,RBMXL1,
GAGE5,,RP9,
GAGE5,,RRP1,
GAGE5,,RRP36,
GAGE5,,SCAF4,
GAGE5,,SLTM,
GAGE5,,SNIP1,
GAGE5,,SUGP1,
GAGE5,,SVIL,
GAGE5,,TCEB3,
GAGE5,,TJP2,
GAGE5,,TMOD2,
GAGE5,,TPX2,
GAGE5,,UACA,
GAGE5,,UTP11L,
GAGE5,,WBP11,
GAGE5,,ZAK,
GAGE5,,ZC3H13,
GAGE5,,ZC3H4,
GAGE5,,ZNF512B,
GAS2L1,,CCNB1,
GAS2L1,,CKS2,
GAS2L1,,DIS3,
GAS2L1,,EPN1,
GAS2L1,,GNB1L,
GAS2L1,,GSN,
GAS2L1,,KLHDC5,
GAS2L1,,LRRFIP1,
GAS2L1,,MAPRE1,
GAS2L1,,MAPRE3,
GAS2L1,,PLCG1,
GAS2L1,,RBM12,
GAS2L1,,SH3KBP1,
GAS2L1,,SNX5,
GAS2L1,,WDR45L,
